idx,AudioData,Answer,Age,ChildID
610,8467648340,Non-Canonical,420,2931_1
611,8467648340,Non-Canonical,420,2931_1
612,8467648340,Canonical,420,2931_1
613,8467648340,Canonical,420,2931_1
614,8467648340,Canonical,420,2931_1
615,9653535268,Non-Canonical,420,2931_1
616,9653535268,Junk,420,2931_1
617,9653535268,Non-Canonical,420,2931_1
618,9653535268,Canonical,420,2931_1
619,9653535268,Crying,420,2931_1
620,8375290998,Laughing,420,2931_1
621,8375290998,Canonical,420,2931_1
622,8375290998,Canonical,420,2931_1
623,8375290998,Non-Canonical,420,2931_1
624,8375290998,Canonical,420,2931_1
625,2736590022,Junk,420,2931_1
626,2736590022,Canonical,420,2931_1
627,2736590022,Canonical,420,2931_1
628,2736590022,Junk,420,2931_1
629,2736590022,Non-Canonical,420,2931_1
630,9243354206,Non-Canonical,420,2931_1
631,9243354206,Junk,420,2931_1
632,9243354206,Junk,420,2931_1
633,9243354206,Non-Canonical,420,2931_1
634,9243354206,Crying,420,2931_1
635,262772630,Junk,420,2931_1
636,262772630,Junk,420,2931_1
637,262772630,Non-Canonical,420,2931_1
638,262772630,Junk,420,2931_1
639,262772630,Junk,420,2931_1
640,1952572270,Non-Canonical,420,2931_1
641,1952572270,Non-Canonical,420,2931_1
642,1952572270,Non-Canonical,420,2931_1
643,1952572270,Junk,420,2931_1
644,1952572270,Non-Canonical,420,2931_1
645,9262798467,Non-Canonical,420,2931_1
646,9262798467,Non-Canonical,420,2931_1
647,9262798467,Non-Canonical,420,2931_1
648,9262798467,Junk,420,2931_1
649,9262798467,Junk,420,2931_1
650,999635539,Non-Canonical,420,2931_1
651,999635539,Junk,420,2931_1
652,999635539,Crying,420,2931_1
653,999635539,Laughing,420,2931_1
654,999635539,Laughing,420,2931_1
655,7215910658,Non-Canonical,420,2931_1
656,7215910658,Canonical,420,2931_1
657,7215910658,Junk,420,2931_1
658,7215910658,Junk,420,2931_1
659,7215910658,Non-Canonical,420,2931_1
660,6509698209,Non-Canonical,420,2931_1
661,6509698209,Non-Canonical,420,2931_1
662,6509698209,Junk,420,2931_1
663,6509698209,Non-Canonical,420,2931_1
664,6509698209,Non-Canonical,420,2931_1
665,9721307120,Non-Canonical,420,2931_1
666,9721307120,Non-Canonical,420,2931_1
667,9721307120,Junk,420,2931_1
668,9721307120,Non-Canonical,420,2931_1
669,9721307120,Non-Canonical,420,2931_1
670,1522908541,Non-Canonical,420,2931_1
671,1522908541,Canonical,420,2931_1
672,1522908541,Non-Canonical,420,2931_1
673,1522908541,Non-Canonical,420,2931_1
674,1522908541,Non-Canonical,420,2931_1
675,5672369951,Crying,420,2931_1
676,5672369951,Crying,420,2931_1
677,5672369951,Non-Canonical,420,2931_1
678,5672369951,Crying,420,2931_1
679,5672369951,Crying,420,2931_1
680,6215075311,Non-Canonical,420,2931_1
681,6215075311,Laughing,420,2931_1
682,6215075311,Non-Canonical,420,2931_1
683,6215075311,Non-Canonical,420,2931_1
684,6215075311,Crying,420,2931_1
685,2549940753,Crying,420,2931_1
686,2549940753,Junk,420,2931_1
687,2549940753,Non-Canonical,420,2931_1
688,2549940753,Junk,420,2931_1
689,2549940753,Non-Canonical,420,2931_1
690,8637277985,Non-Canonical,420,2931_1
691,8637277985,Canonical,420,2931_1
692,8637277985,Junk,420,2931_1
693,8637277985,Crying,420,2931_1
694,8637277985,Non-Canonical,420,2931_1
695,8228022485,Non-Canonical,420,2931_1
696,8228022485,Canonical,420,2931_1
697,8228022485,Junk,420,2931_1
698,8228022485,Junk,420,2931_1
699,8228022485,Non-Canonical,420,2931_1
700,7223056891,Canonical,420,2931_1
701,7223056891,Non-Canonical,420,2931_1
702,7223056891,Junk,420,2931_1
703,7223056891,Junk,420,2931_1
704,7223056891,Junk,420,2931_1
705,9682678724,Canonical,420,2931_1
706,9682678724,Junk,420,2931_1
707,9682678724,Non-Canonical,420,2931_1
708,9682678724,Junk,420,2931_1
709,9682678724,Junk,420,2931_1
710,7311511268,Non-Canonical,420,2931_1
