idx,segmentId_DB,ChildID,Age,filename,Starttime,Endtime,Major_Choice,Num_Agreement,Zoon_classif
4055,17432.DB2,3291_1,18.73,20180530_180405_024879,41804.31,41806.17,Canonical syllables,3,Mixed_Crying_Canonical
4056,16011.DB2,3291_1,18.73,20180530_180405_024879,41831.5,41833.77,Canonical syllables,3,Canonical
4057,15867.DB2,3291_1,18.73,20180530_180405_024879,41834.89,41835.74,Canonical syllables,2,Canonical
4058,28577.DB1,3451_1,12.42,20180906_133011_022875,4744.87,4745.53,Don't mark,3,Junk
4059,28542.DB1,3451_1,12.42,20180906_133011_022875,4751.61,4752.21,Don't mark,3,Junk
4060,27334.DB1,3451_1,12.42,20180906_133011_022875,4757.86,4759.27,Don't mark,3,Canonical
4061,27612.DB1,3451_1,12.42,20180906_133011_022875,4772.09,4772.79,Don't mark,3,Junk
4062,27608.DB1,3451_1,12.42,20180906_133011_022875,4776.01,4777.82,Don't mark,3,Junk
4063,28218.DB1,3451_1,12.42,20180906_133011_022875,4786.19,4788.71,Don't mark,3,Non-Canonical
4064,28223.DB1,3451_1,12.42,20180906_133011_022875,4792.68,4793.85,Non-canonical syllables,3,Mixed_Laughing_Non-Canonical
4065,27424.DB1,3451_1,12.42,20180906_133011_022875,4794.74,4795.34,Laughing,3,Junk
4066,27477.DB1,3451_1,12.42,20180906_133011_022875,4862.45,4864.38,Non-canonical syllables,3,Non-Canonical
4067,27130.DB1,3451_1,12.42,20180906_133011_022875,4871.18,4871.78,Non-canonical syllables,3,Non-Canonical
4068,27799.DB1,3451_1,12.42,20180906_133011_022875,4872.78,4873.39,Non-canonical syllables,3,Mixed_Crying_Non-Canonical
4069,27444.DB1,3451_1,12.42,20180906_133011_022875,4876.36,4876.96,Non-canonical syllables,3,Junk
4070,27186.DB1,3451_1,12.42,20180906_133011_022875,4879.22,4879.83,Non-canonical syllables,3,Junk
4071,28563.DB1,3451_1,12.42,20180906_133011_022875,4884.24,4885.38,Non-canonical syllables,3,Crying
4072,27832.DB1,3451_1,12.42,20180906_133011_022875,4885.38,4886.43,Non-canonical syllables,3,Crying
4073,28688.DB1,3451_1,12.42,20180906_133011_022875,4894.69,4895.29,Non-canonical syllables,3,Non-Canonical
4074,27089.DB1,3451_1,12.42,20180906_133011_022875,4897.05,4897.92,Non-canonical syllables,3,Non-Canonical
4075,27014.DB1,3451_1,12.42,20180906_133011_022875,9234.22,9234.89,Non-canonical syllables,3,Mixed_Crying_Non-Canonical
4076,27397.DB1,3451_1,12.42,20180906_133011_022875,9262.9,9263.6,Non-canonical syllables,2,Crying
4077,27786.DB1,3451_1,12.42,20180906_133011_022875,9277.65,9278.26,Non-canonical syllables,3,Non-Canonical
4078,27673.DB1,3451_1,12.42,20180906_133011_022875,9282.41,9283.01,Non-canonical syllables,3,Non-Canonical
4079,26655.DB1,3451_1,12.42,20180906_133011_022875,9288.88,9289.55,Non-canonical syllables,3,Non-Canonical
4080,27586.DB1,3451_1,12.42,20180906_133011_022875,9294.16,9294.76,Non-canonical syllables,3,Non-Canonical
4081,28522.DB1,3451_1,12.42,20180906_133011_022875,9303.97,9304.84,Non-canonical syllables,3,Non-Canonical
4082,28154.DB1,3451_1,12.42,20180906_133011_022875,9305.64,9306.25,Non-canonical syllables,3,Non-Canonical
4083,28559.DB1,3451_1,12.42,20180906_133011_022875,9311.14,9312.91,Non-canonical syllables,3,Non-Canonical
4084,26800.DB1,3451_1,12.42,20180906_133011_022875,9316.84,9318.33,Non-canonical syllables,3,Non-Canonical
4085,28000.DB1,3451_1,12.42,20180906_133011_022875,9348.71,9349.31,Non-canonical syllables,3,Non-Canonical
4086,27848.DB1,3451_1,12.42,20180906_133011_022875,9350.45,9351.05,Non-canonical syllables,3,Non-Canonical
4087,28116.DB1,3451_1,12.42,20180906_133011_022875,9363.98,9364.58,Non-canonical syllables,3,Non-Canonical
4088,28594.DB1,3451_1,12.42,20180906_133011_022875,9377.98,9378.58,Non-canonical syllables,2,Junk
4089,28192.DB1,3451_1,12.42,20180906_133011_022875,9380.4,9381.11,Non-canonical syllables,3,Non-Canonical
4090,26913.DB1,3451_1,12.42,20180906_133011_022875,9437.74,9438.34,Non-canonical syllables,3,Non-Canonical
4091,28248.DB1,3451_1,12.42,20180906_133011_022875,9443.8,9444.41,Non-canonical syllables,2,Non-Canonical
4092,28397.DB1,3451_1,12.42,20180906_133011_022875,9446.81,9447.79,Non-canonical syllables,2,Canonical
4093,27032.DB1,3451_1,12.42,20180906_133011_022875,9449.96,9450.66,Non-canonical syllables,3,Junk
4094,28206.DB1,3451_1,12.42,20180906_133011_022875,9451.46,9452.11,Non-canonical syllables,3,Non-Canonical
4095,26976.DB1,3451_1,12.42,20180906_133011_022875,9452.92,9453.52,Non-canonical syllables,3,Non-Canonical
4096,26635.DB1,3451_1,12.42,20180906_133011_022875,9459.14,9460.52,Non-canonical syllables,3,Laughing
4097,26911.DB1,3451_1,12.42,20180906_133011_022875,9463.21,9464.15,Canonical syllables,2,Non-Canonical
4098,27640.DB1,3451_1,12.42,20180906_133011_022875,9465.36,9466.39,Non-canonical syllables,3,Junk
4099,27672.DB1,3451_1,12.42,20180906_133011_022875,9471.58,9472.33,Canonical syllables,3,Canonical
4100,26804.DB1,3451_1,12.42,20180906_133011_022875,9480.19,9480.87,Non-canonical syllables,2,Junk
