"startTime","itsId","endTime","LENA_type","segmentId_DB","ChildID","Age_months_actual","filename","Endtime","Major_Choice","Num_Agreement"
33261.15,"20181218_132113_024879",33262.08,"Can/non-can","2661.DB1","3131_1",21.26,"20181218_132113_024879",33262.08,"None",0
33265.69,"20181218_132113_024879",33266.49,"Can/non-can","5624.DB1","3131_1",21.26,"20181218_132113_024879",33266.49,"Don't mark",2
33267.78,"20181218_132113_024879",33268.4,"Can/non-can","3283.DB1","3131_1",21.26,"20181218_132113_024879",33268.4,"Non-canonical syllables",3
33270.74,"20181218_132113_024879",33271.47,"Can/non-can","3166.DB1","3131_1",21.26,"20181218_132113_024879",33271.47,"Don't mark",2
33276.84,"20181218_132113_024879",33282.96,"Can/non-can","6360.DB1","3131_1",21.26,"20181218_132113_024879",33282.96,"None",0
33283.76,"20181218_132113_024879",33284.47,"Can/non-can","7052.DB1","3131_1",21.26,"20181218_132113_024879",33284.47,"Non-canonical syllables",3
33284.47,"20181218_132113_024879",33285.47,"Can/non-can","2943.DB1","3131_1",21.26,"20181218_132113_024879",33285.47,"Don't mark",3
33285.47,"20181218_132113_024879",33286.15,"Can/non-can","3332.DB1","3131_1",21.26,"20181218_132113_024879",33286.15,"Non-canonical syllables",2
33288.14,"20181218_132113_024879",33288.97,"Can/non-can","2816.DB1","3131_1",21.26,"20181218_132113_024879",33288.97,"Non-canonical syllables",3
33289.88,"20181218_132113_024879",33292.53,"Can/non-can","7310.DB1","3131_1",21.26,"20181218_132113_024879",33292.53,"Don't mark",2
33293.53,"20181218_132113_024879",33294.76,"Can/non-can","6603.DB1","3131_1",21.26,"20181218_132113_024879",33294.76,"Canonical syllables",2
33296.55,"20181218_132113_024879",33298.65,"Can/non-can","5824.DB1","3131_1",21.26,"20181218_132113_024879",33298.65,"Don't mark",3
33299.69,"20181218_132113_024879",33301.05,"Can/non-can","2746.DB1","3131_1",21.26,"20181218_132113_024879",33301.05,"Non-canonical syllables",3
33310.34,"20181218_132113_024879",33310.96,"Can/non-can","6949.DB1","3131_1",21.26,"20181218_132113_024879",33310.96,"Non-canonical syllables",3
33337.25,"20181218_132113_024879",33338.32,"Can/non-can","3068.DB1","3131_1",21.26,"20181218_132113_024879",33338.32,"Don't mark",3
33339.12,"20181218_132113_024879",33340.19,"Can/non-can","6356.DB1","3131_1",21.26,"20181218_132113_024879",33340.19,"Don't mark",3
33341.09,"20181218_132113_024879",33341.74,"Can/non-can","4537.DB1","3131_1",21.26,"20181218_132113_024879",33341.74,"Non-canonical syllables",2
33342.64,"20181218_132113_024879",33343.64,"Can/non-can","7207.DB1","3131_1",21.26,"20181218_132113_024879",33343.64,"Don't mark",3
33344.54,"20181218_132113_024879",33345.94,"Can/non-can","7029.DB1","3131_1",21.26,"20181218_132113_024879",33345.94,"Don't mark",3
33345.94,"20181218_132113_024879",33346.56,"Can/non-can","3525.DB1","3131_1",21.26,"20181218_132113_024879",33346.56,"Non-canonical syllables",3
33346.56,"20181218_132113_024879",33347.57,"Can/non-can","6797.DB1","3131_1",21.26,"20181218_132113_024879",33347.57,"Don't mark",3
33350.05,"20181218_132113_024879",33350.65,"Laughing","3308.DB1","3131_1",21.26,"20181218_132113_024879",33350.65,"Non-canonical syllables",3
33363.7,"20181218_132113_024879",33364.74,"Can/non-can","6279.DB1","3131_1",21.26,"20181218_132113_024879",33364.74,"Don't mark",3
36093.09,"20181218_132113_024879",36093.79,"Can/non-can","5785.DB1","3131_1",21.26,"20181218_132113_024879",36093.79,"Non-canonical syllables",3
36134.55,"20181218_132113_024879",36135.15,"Can/non-can","6966.DB1","3131_1",21.26,"20181218_132113_024879",36135.15,"Canonical syllables",3
36135.95,"20181218_132113_024879",36137.07,"Can/non-can","6558.DB1","3131_1",21.26,"20181218_132113_024879",36137.07,"Canonical syllables",3
36141.52,"20181218_132113_024879",36142.12,"Can/non-can","2781.DB1","3131_1",21.26,"20181218_132113_024879",36142.12,"Non-canonical syllables",3
36166.92,"20181218_132113_024879",36168.48,"Can/non-can","3417.DB1","3131_1",21.26,"20181218_132113_024879",36168.48,"Non-canonical syllables",3
36221.63,"20181218_132113_024879",36222.23,"Can/non-can","4535.DB1","3131_1",21.26,"20181218_132113_024879",36222.23,"Don't mark",2
36240.08,"20181218_132113_024879",36243.22,"Can/non-can","5011.DB1","3131_1",21.26,"20181218_132113_024879",36243.22,"Canonical syllables",3
36264.93,"20181218_132113_024879",36265.53,"Can/non-can","2921.DB1","3131_1",21.26,"20181218_132113_024879",36265.53,"Canonical syllables",2
36284.83,"20181218_132113_024879",36285.43,"Can/non-can","3154.DB1","3131_1",21.26,"20181218_132113_024879",36285.43,"Non-canonical syllables",3
36316.65,"20181218_132113_024879",36317.71,"Can/non-can","4681.DB1","3131_1",21.26,"20181218_132113_024879",36317.71,"Non-canonical syllables",2
